scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,method,physical_success,hard_violation,terminal_recovery,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,controller_calls,attempted_optimization_calls,fallback_calls,restoration_calls,p99_solve_time_s,true_capability_read_by_ordinary_controller,evaluation_only_truth_used,full_rolling
A1-D-017,development,223,A_full_nonlinear,ramp_drop,low,4.0,300.0,60.0,114.27925383664387,128.27925383664387,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.3153420698121046,1.2143521385057603,0.2502418471192532,0.3484868078496271,1.683458036305187,76,76,0,0,0.0720358500002475,False,True,True
A1-D-018,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.2341640286195307,0.7060237100548203,0.1371612072418317,0.1670757749785481,1.2989576880114375,151,151,0,0,0.0977768999991894,False,False,True
A1-D-018,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.2333946029868429,0.6574643176440205,0.1204770735548189,0.1498696974502495,1.8206492746264848,151,151,0,0,0.1147713999989719,False,True,True
A1-D-019,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.23395854376736472,0.6773369068688052,0.1508288583472957,0.17473554539277245,1.261781708929507,151,151,0,0,0.0990662499998507,False,False,True
A1-D-019,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.23395927464335606,0.6773181901502076,0.15083761805105717,0.1747431984516772,1.2617573568053788,151,151,0,0,0.10693329999958223,False,True,True
A1-D-020,development,226,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,102.75462244424396,116.75462244424396,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.23178150229249592,0.7038125696258485,0.14939894300135512,0.17880714753680657,1.257557779734285,151,151,0,0,0.10242294999989099,False,False,True
A1-D-020,development,226,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,102.75462244424396,116.75462244424396,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.23178298710623438,0.7038243227321146,0.14942500129116476,0.17882657825157772,1.257557551033078,151,151,0,0,0.10154744999999821,False,True,True
A1-D-021,development,227,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,126.18001992721628,112.18001992721628,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.23650688524328428,0.8447383027791139,0.15983383649290994,0.24119460465806294,1.126709945090939,76,76,0,0,0.09616084999970553,False,False,True
A1-D-021,development,227,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,126.18001992721628,112.18001992721628,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.23650691248297165,0.861763124547522,0.15596584681978398,0.24941520717965784,1.4345497580005333,76,76,0,0,0.0944980500003112,False,True,True
A1-D-022,development,228,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,111.12623713260729,111.12623713260729,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.23831847497549946,0.7517616534395801,0.1421650085744357,0.2140225364351756,1.1808245370774801,76,76,0,0,0.08989635000034468,False,False,True
A1-D-022,development,228,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,111.12623713260729,111.12623713260729,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.2383168924255375,0.7517293159175156,0.14216834765473796,0.21401267365264875,1.1808381871342732,76,76,0,0,0.09554687499939973,False,True,True
A1-D-023,development,229,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,126.25466579795383,140.25466579795383,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.23650689189334936,0.8591846515787733,0.16453696998605116,0.2532174929167056,0.9646424673334622,76,76,0,0,0.09814014999938081,False,False,True
A1-D-023,development,229,A_full_nonlinear,ramp_drop,high,4.0,300.0,60.0,126.25466579795383,140.25466579795383,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.23650606466971874,0.8591631972050641,0.1645352681263042,0.2532069897421358,0.9646124874013261,76,76,0,0,0.10118762499905642,False,True,True
