method,bayes_correct,hardest_alternative,likelihood_information_insufficient,mean_pairwise_jsd,posterior_true_mode,predictive_log_likelihood_margin,run_id,scenario_id,schema_version,seed,sg_level,switch_time_s,true_mode,window_s
P_old,False,unavailable,True,0.05251241298929676,0.178855379691567,-1.5226449384483232,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.04589807426682613,0.019974430227496655,-3.893125620088341,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.03909407005033181,0.0004999572301733427,-7.600487920603655,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2801922943401068,1.0,53.65869317945382,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.05004194129174995,0.17856268444776008,-1.3835501149298572,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003012,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3012,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.04320560130455363,0.022853063649559906,-3.7555517858677945,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003012,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3012,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.03850100083774585,0.0005019947690824416,-7.596418737670689,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003012,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3012,A,50.0,sluggish,10.0
P_old,True,derated,False,0.27995568550423133,1.0,51.93622668990204,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003012,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3012,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.030759787954198516,0.16259754281004637,-1.4553037819961467,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003013,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3013,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.029909533342626006,0.02575066244277767,-3.6051833301183933,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003013,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3013,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.030531411573736907,0.0006946005796388134,-7.271461432404038,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003013,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3013,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2547911606168693,1.0,50.57695261186072,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003013,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3013,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.03400389455426259,0.1783426775538538,-1.4274094996987117,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003014,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3014,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.03169641974333874,0.02611608928487559,-3.600835415971588,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003014,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3014,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.034358319362037856,0.0006356733092750793,-7.3601899158197455,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003014,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3014,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2687159723583412,1.0,47.95678894835564,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003014,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3014,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.052090926655238345,0.1855857870395095,-1.4679624445024082,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003015,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3015,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.03987022675073973,0.024366165521555672,-3.689789382703694,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003015,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3015,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.03476181044033638,0.0006899758233755583,-7.27815849954689,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003015,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3015,A,50.0,sluggish,10.0
P_old,True,derated,False,0.28655171442952454,1.0,56.3892836075467,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003015,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3015,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.029562138783663792,0.18132814774651188,-1.4370221420038582,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003016,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3016,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.030509815349719072,0.02582072477833604,-3.628154556434154,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003016,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3016,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.03017743967494487,0.0007227903582263664,-7.231503417569627,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003016,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3016,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2750182758612974,1.0,54.985280589638734,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003016,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3016,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.02972519960389124,0.15322713659481804,-1.434934372896997,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003017,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3017,A,50.0,sluggish,2.0
