scope,scenario_id,sg_level,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
scenario,S1_step_pos_006,ALL,max_abs_freq_hz,90,90,0.25057984615796464,0.24490531163034393,0.005674534527620693,0.02320851931833837,0.021304183719514074,0.025084593138414824,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_pos_006,A,max_abs_freq_hz,30,30,0.2491334649687848,0.24569230817359403,0.003441156795190829,0.01400596062925779,0.012447735828062235,0.015495327026353027,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_006,B,max_abs_freq_hz,30,30,0.25111022053949145,0.24585151278977121,0.005258707749720368,0.021389771777475763,0.019958382599345386,0.02278895591142095,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_006,C,max_abs_freq_hz,30,30,0.25149585296561766,0.24317211392766674,0.008323739037950884,0.034229825548281564,0.03316300677433741,0.03523454451664221,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,ALL,max_abs_freq_hz,90,90,0.3350270902316494,0.324149173163106,0.010877917068543304,0.03367878212253513,0.031104596795600643,0.03626735358951933,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_pos_008,A,max_abs_freq_hz,30,30,0.3338635296534261,0.32763845111558554,0.006225078537840667,0.018999841186663903,0.017824985330661777,0.020119754968839137,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,B,max_abs_freq_hz,30,30,0.33526080365895633,0.3197346476997887,0.015526155959167709,0.048559504172803386,0.04764847744122715,0.049375205244965165,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,C,max_abs_freq_hz,30,30,0.33595693738256555,0.32507442067394415,0.010882516708621533,0.0334770010081381,0.03257296910203745,0.03436688270003015,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,ALL,max_abs_freq_hz,90,90,0.28825171736427596,0.29279441640884096,-0.0045426990445649905,-0.015519592814816636,-0.01712065355530548,-0.013838111545634794,9.999000099990002e-05,5.984806580398799e-16
scenario,S2_sluggish_switch_050,A,max_abs_freq_hz,30,30,0.286111930797552,0.2923416969969989,-0.006229766199446857,-0.021309879033475032,-0.02261854156308236,-0.020049789551160588,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,B,max_abs_freq_hz,30,30,0.28840257603253805,0.2929128197038461,-0.004510243671307951,-0.015397904659373055,-0.017945066775872067,-0.012735524229374302,9.999000099990002e-05,9.313225746154785e-09
scenario,S2_sluggish_switch_050,C,max_abs_freq_hz,30,30,0.29024064526273785,0.293128732525678,-0.0028880872629401646,-0.009850994751601836,-0.012675263140690776,-0.00702250085284293,9.999000099990002e-05,8.326023817062378e-07
scenario,S2_sluggish_switch_060,ALL,max_abs_freq_hz,90,90,0.28840467884346876,0.29279441640884096,-0.004389737565372227,-0.014998777719514278,-0.016536961361499194,-0.013397833637807164,9.999000099990002e-05,3.890124789930393e-16
scenario,S2_sluggish_switch_060,A,max_abs_freq_hz,30,30,0.2861129614005433,0.2923416969969989,-0.006228735596455579,-0.02130635369650852,-0.022480885658303574,-0.02025431811468779,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,B,max_abs_freq_hz,30,30,0.28815186510222546,0.2929128197038461,-0.004760954601620636,-0.016253828038097717,-0.018001232778100094,-0.014359558071581697,9.999000099990002e-05,3.725290298461914e-09
scenario,S2_sluggish_switch_060,C,max_abs_freq_hz,30,30,0.2909492100276376,0.293128732525678,-0.002179522498040465,-0.0074361514239366005,-0.009582194760681879,-0.005275463847425217,9.999000099990002e-05,6.910413503646851e-07
scenario,S2_sluggish_switch_090,ALL,max_abs_freq_hz,90,90,0.2505921052125544,0.24490531163034393,0.005686793582210435,0.023259213228882508,0.021332467558570566,0.02516825707084267,9.999000099990002e-05,1.7437900167092118e-16
scenario,S2_sluggish_switch_090,A,max_abs_freq_hz,30,30,0.24914360303999894,0.24569230817359403,0.003451294866404944,0.01404722391213986,0.012445450227872568,0.015574456164541093,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_090,B,max_abs_freq_hz,30,30,0.25108188035632517,0.24585151278977121,0.005230367566554029,0.02127449820097932,0.019826783206061488,0.02272540697426552,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_090,C,max_abs_freq_hz,30,30,0.2515508322413391,0.24317211392766674,0.008378718313672335,0.03445591757352837,0.033365823324074166,0.03546242837748724,9.999000099990002e-05,1.862645149230957e-09
scenario,S3_derated_coincident,ALL,max_abs_freq_hz,90,90,0.2739802438781827,0.2645325056410256,0.009447738237157137,0.03661079056619284,0.028382155772964913,0.04491218687403746,9.999000099990002e-05,2.5055334197899094e-09
scenario,S3_derated_coincident,A,max_abs_freq_hz,30,30,0.27039708077591185,0.27253067947373555,-0.002133598697823652,-0.007828838580462546,-0.009694565663903098,-0.005855621579338555,9.999000099990002e-05,1.30385160446167e-07
scenario,S3_derated_coincident,B,max_abs_freq_hz,30,30,0.2721851142682353,0.2631119099220982,0.009073204346137084,0.03468698967262324,0.028028039480332632,0.04097467951827957,9.999000099990002e-05,5.587935447692871e-09
scenario,S3_derated_coincident,C,max_abs_freq_hz,30,30,0.279358536590401,0.2579549275272431,0.021403609063157983,0.08297422060641778,0.07696938515476273,0.08913053011074216,9.999000099990002e-05,1.862645149230957e-09
scenario,S4_unavailable_coincident,ALL,max_abs_freq_hz,90,90,0.29632962351361963,0.3030633161466719,-0.006733692633052217,-0.022226786796065337,-0.02431465682228857,-0.020048803143206714,9.999000099990002e-05,2.4387943939672536e-16
scenario,S4_unavailable_coincident,A,max_abs_freq_hz,30,30,0.2927883893618871,0.3023414733846951,-0.009553084022808031,-0.03159745617877464,-0.03245894553919602,-0.030783357156863547,9.999000099990002e-05,1.862645149230957e-09
scenario,S4_unavailable_coincident,B,max_abs_freq_hz,30,30,0.29570871439634855,0.30331457014614244,-0.007605855749793947,-0.025076605248413476,-0.02678034014144848,-0.023238899658878653,9.999000099990002e-05,1.862645149230957e-09
scenario,S4_unavailable_coincident,C,max_abs_freq_hz,30,30,0.30049176678262346,0.30353390490917814,-0.0030421381265546684,-0.010006298961007902,-0.012357685594385267,-0.00754432859674584,9.999000099990002e-05,8.009374141693115e-08
scenario,S5_multi_switch_stochastic,ALL,max_abs_freq_hz,90,90,0.03052523948281403,0.012812621502553863,0.017712617980260175,1.4385041847585676,1.3421168693799566,1.5345550299766897,9.999000099990002e-05,1.7437900167092118e-16
scenario,S5_multi_switch_stochastic,A,max_abs_freq_hz,30,30,0.03310341957341671,0.013212533399211596,0.019890886174205123,1.6035491792584058,1.4108693478744485,1.7901269383632752,9.999000099990002e-05,1.862645149230957e-09
scenario,S5_multi_switch_stochastic,B,max_abs_freq_hz,30,30,0.030265262642641108,0.01260531320537694,0.017659949437264167,1.4389993231058016,1.2849974964300122,1.5972359965458265,9.999000099990002e-05,1.862645149230957e-09
scenario,S5_multi_switch_stochastic,C,max_abs_freq_hz,30,30,0.028207036232384287,0.01262001790307305,0.015587018329311234,1.2729640519114949,1.1487266229960422,1.4049433324446357,9.999000099990002e-05,1.862645149230957e-09
scenario,S6_sluggish_coincident_high_noise,ALL,max_abs_freq_hz,90,90,0.29137482114872715,0.29296200141761,-0.0015871802688828159,-0.005136635647918099,-0.010582030510842397,0.0002543290331631245,0.053594640535946404,0.06051112918587905
scenario,S6_sluggish_coincident_high_noise,A,max_abs_freq_hz,30,30,0.2897171807333102,0.2938074244602024,-0.004090243726892329,-0.013101849207091208,-0.025293139244343187,-9.958658308391879e-05,0.041195880411958805,0.03841841779649258
scenario,S6_sluggish_coincident_high_noise,B,max_abs_freq_hz,30,30,0.29220308555990987,0.29250656578743633,-0.0003034802275264962,-0.0010312501216955794,-0.008731313567640099,0.006545238212257352,0.7991200879912009,0.8552717231214046
scenario,S6_sluggish_coincident_high_noise,C,max_abs_freq_hz,30,30,0.29220419715296136,0.29257201400519095,-0.0003678168522296225,-0.0012768076149675088,-0.00669885607403957,0.0044516769158602885,0.67003299670033,0.46454504504799843
scenario,S6_sluggish_coincident_low_noise,ALL,max_abs_freq_hz,90,90,0.2883994968251468,0.29279441640884096,-0.004394919583694196,-0.015017027205908308,-0.01659672974732668,-0.013374384054746207,9.999000099990002e-05,5.984806580398799e-16
scenario,S6_sluggish_coincident_low_noise,A,max_abs_freq_hz,30,30,0.28611182857132633,0.2923416969969989,-0.006229868425672547,-0.02131022871409446,-0.022449778171585843,-0.020244607810878532,9.999000099990002e-05,1.862645149230957e-09
scenario,S6_sluggish_coincident_low_noise,B,max_abs_freq_hz,30,30,0.28813525362164305,0.2929128197038461,-0.004777566082203105,-0.016310539385177934,-0.018057223068913643,-0.01443954086054747,9.999000099990002e-05,3.725290298461914e-09
scenario,S6_sluggish_coincident_low_noise,C,max_abs_freq_hz,30,30,0.29095140828247107,0.293128732525678,-0.002177324243206937,-0.007430313518452528,-0.009737142983665027,-0.005066900322353643,9.999000099990002e-05,3.7904828786849976e-06
scenario,S6_sluggish_coincident_medium_noise,ALL,max_abs_freq_hz,90,90,0.28840467884346876,0.29279441640884096,-0.004389737565372227,-0.014998777719514278,-0.016536961361499194,-0.013397833637807164,9.999000099990002e-05,3.890124789930393e-16
scenario,S6_sluggish_coincident_medium_noise,A,max_abs_freq_hz,30,30,0.2861129614005433,0.2923416969969989,-0.006228735596455579,-0.02130635369650852,-0.022480885658303574,-0.02025431811468779,9.999000099990002e-05,1.862645149230957e-09
scenario,S6_sluggish_coincident_medium_noise,B,max_abs_freq_hz,30,30,0.28815186510222546,0.2929128197038461,-0.004760954601620636,-0.016253828038097717,-0.018001232778100094,-0.014359558071581697,9.999000099990002e-05,3.725290298461914e-09
scenario,S6_sluggish_coincident_medium_noise,C,max_abs_freq_hz,30,30,0.2909492100276376,0.293128732525678,-0.002179522498040465,-0.0074361514239366005,-0.009582194760681879,-0.005275463847425217,9.999000099990002e-05,6.910413503646851e-07
scenario,S7_ood_asymmetric_limit,ALL,max_abs_freq_hz,150,150,0.25068220733537533,0.2449181075753799,0.005764099759995484,0.023576260765010043,0.02207638163953719,0.025124739980399918,9.999000099990002e-05,2.2996057560669792e-26
scenario,S7_ood_asymmetric_limit,A,max_abs_freq_hz,50,50,0.24922188354777272,0.24569230817359394,0.003529575374178747,0.014365835871772283,0.01328093112658032,0.0154412537985685,9.999000099990002e-05,1.7763568394002505e-15
