scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
overall,ALL,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,240,238,0.21665420743781152,0.21377019911853248,0.0028840083192789986,0.04751495315292386,0.02617058353190505,0.07172933723137224,9.999000099990002e-05,1.4903378571106005e-12
overall,ALL,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,240,240,0.21875886576044146,0.21733998728404308,0.0014188784763983755,0.03531041406067257,0.01316128611984581,0.0669491695206649,9.999000099990002e-05,6.413373263704508e-05
scenario,S0_nominal_stochastic,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,90,90,0.011870324427387884,0.01188570692785679,-1.5382500468909942e-05,-0.0005639412998162687,-0.007099024941965105,0.006071600452884638,0.688931106889311,0.6220607739934277
scenario,S0_nominal_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.01192515431992549,0.011917653798905649,7.5005210198413745e-06,0.000909026912302257,-0.008210026182154568,0.010379140906808028,0.8942105789421058,0.8531003889790088
scenario,S0_nominal_stochastic,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.011882284558786737,0.011900724483447736,-1.8439924661002813e-05,-0.0006474533035666174,-0.012780028708602696,0.010567854455041619,0.8189181081891811,0.8692939247222944
scenario,S0_nominal_stochastic,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.011803534403451419,0.011838742501216987,-3.5208097765568386e-05,-0.0019533975081844454,-0.0143507815872937,0.010860397086599576,0.638936106389361,0.6070872259655051
scenario,S1_step_neg_002,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_002,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_002,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_002,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_004,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_004,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_004,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_004,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_006,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_006,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_006,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_008,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_008,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_008,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_neg_008,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_002,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_002,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_002,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_002,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_004,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_004,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_004,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_004,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_006,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,90,90,0.2505086620607524,0.2504877257104293,2.0936350323009284e-05,0.00010086172841008031,-0.0009961902787337564,0.001246489964493928,0.8432156784321568,0.5184075602225734
scenario,S1_step_pos_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.2490637559540658,0.24907400018498552,-1.0244230919727778e-05,-3.8851481353189544e-05,-0.0007540037504962094,0.0007656225382853771,0.9245075492450755,0.308520769700408
scenario,S1_step_pos_006,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.25094998958894305,0.2508040303893542,0.0001459591995888021,0.0006306260658352929,-0.002696715914183827,0.0038187888314740654,0.5788421157884212,0.28008678182959557
scenario,S1_step_pos_006,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.2515122406392482,0.25158514655694825,-7.290591770004647e-05,-0.0002891893992518619,-0.0006150307103562166,5.33845529050005e-06,0.0872912708729127,0.23665234446525574
scenario,S1_step_pos_008,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_008,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_008,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S1_step_pos_008,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,0,0,,,,,,,,
scenario,S2_sluggish_switch_050,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,90,90,0.2881701778359105,0.2862568485958923,0.0019133292400181751,0.006692610989682874,0.005146534539396766,0.008237476448825921,9.999000099990002e-05,1.2537361426267812e-11
scenario,S2_sluggish_switch_050,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.28610750163303267,0.28479154616379226,0.0013159554692404837,0.004620680630691529,0.003397918702785848,0.0058721597061415585,9.999000099990002e-05,4.7124922275543213e-07
scenario,S2_sluggish_switch_050,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.28824316678141815,0.28515883830636446,0.003084328475053701,0.010817624878858793,0.008392512030134565,0.01344575652469863,9.999000099990002e-05,5.587935447692871e-09
scenario,S2_sluggish_switch_050,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.29015986509328057,0.28882016131752025,0.0013397037757603405,0.004639527459498297,0.0014320736431086133,0.007827225850842095,0.006899310068993101,0.01283373311161995
scenario,S2_sluggish_switch_060,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,90,89,0.28829882788834693,0.2865476161005893,0.0017512117877576535,0.006140346232177986,0.004712470739394174,0.007560246608542905,9.999000099990002e-05,2.764216976065154e-11
scenario,S2_sluggish_switch_060,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0.2861491705823286,0.2848172538001137,0.001331916782214924,0.004696782548210032,0.002835124306955054,0.006725806604138687,9.999000099990002e-05,3.049522638320923e-05
