scope,scenario_id,sg_level,attempted_pair_union_count,finite_pair_count,b5_success_rate,physically_feasible,mean_b0_freq_iae,mean_b5_freq_iae,frequency_iae_improvement_fraction,frequency_iae_improvement_ci95_low,frequency_iae_improvement_ci95_high,max_frequency_worsening_fraction,max_frequency_worsening_ci95_low,max_frequency_worsening_ci95_high,sg_mileage_improvement_fraction,sg_mileage_improvement_ci95_low,sg_mileage_improvement_ci95_high,frequency_value_gate,resource_value_gate,materiality_gate_passed,iae_sign_flip_pvalue,iae_wilcoxon_pvalue,max_frequency_sign_flip_pvalue,max_frequency_wilcoxon_pvalue,sg_mileage_sign_flip_pvalue,sg_mileage_wilcoxon_pvalue
scenario,S2_sluggish_switch_050,ALL,90,90,1.0,True,1.73450414767029,1.2546092826104855,0.15799022401879548,0.09446866722537164,0.22147167702098206,0.022911938552718197,0.021584597110238895,0.024166901526002583,0.6191525469986087,0.59119157091435,0.6445304429845437,False,True,True,9.999000099990002e-05,4.45338038076903e-06,9.999000099990002e-05,1.7437900167092118e-16,9.999000099990002e-05,1.7437900167092118e-16
scenario,S2_sluggish_switch_050,A,30,30,1.0,True,1.0899359568816431,1.3029272947821624,-0.19557485458955295,-0.2349356584498048,-0.16078936842507177,0.026575292157726978,0.026081309989148982,0.02704807763806646,0.529597753499927,0.4655619980718781,0.5857068015803215,False,False,False,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,B,30,30,1.0,True,1.3455660028039866,1.1559500851942528,0.14093364346230516,0.10139140916477632,0.17207229086953607,0.027313853755553747,0.026817790887769064,0.027791926157425557,0.6772623587346996,0.6452266217059047,0.7084065231236162,False,True,True,9.999000099990002e-05,5.144625902175903e-06,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,C,30,30,1.0,True,2.7680104833252406,1.3049504678550419,0.5286118831836342,0.5015676142355469,0.5587636632849777,0.01484666974487386,0.01327036908682479,0.01613490419102985,0.6505975287611997,0.6312764752957468,0.6682689092142288,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,ALL,90,90,1.0,True,1.733934051926123,1.2546092826104855,0.15764174976023929,0.09403357585565193,0.22120590227634868,0.0229633261383255,0.021640387971826353,0.024225251750134815,0.6191344570869024,0.5911772435943572,0.6445435603070672,False,True,True,9.999000099990002e-05,4.45338038076903e-06,9.999000099990002e-05,1.7437900167092118e-16,9.999000099990002e-05,1.7437900167092118e-16
scenario,S2_sluggish_switch_060,A,30,30,1.0,True,1.0893759748380887,1.3029272947821624,-0.19618099394342733,-0.23549135196223736,-0.1614216529967315,0.026619605156713425,0.026132848014427258,0.0271038058422414,0.5295794778981976,0.46550690015566654,0.5856960911780904,False,False,False,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,B,30,30,1.0,True,1.345048274658676,1.1559500851942528,0.14059928875806196,0.10102503637399718,0.17178724394587502,0.027358222646427257,0.026868400321233075,0.02784734751831987,0.6772563546651884,0.6452208320996693,0.7084275553411103,False,True,True,9.999000099990002e-05,5.144625902175903e-06,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,C,30,30,1.0,True,2.7673779062816033,1.3049504678550419,0.5285069544660831,0.501465295036262,0.5586709159491351,0.014912150611835807,0.0133405022569772,0.016197951142470683,0.6505675386973209,0.6312179013907248,0.668279966576624,True,True,True,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_090,ALL,90,90,1.0,True,1.6354170201351932,1.1157830723743583,0.19675275811067267,0.13417318377159962,0.2584335474155523,0.013499452874815087,0.011557959186814905,0.015347460926370866,0.43283780566556784,0.3710315036990492,0.48861591087950507,True,True,True,9.999000099990002e-05,4.4951557742668554e-08,9.999000099990002e-05,9.975723219211656e-15,9.999000099990002e-05,1.0881024464598277e-13
scenario,S2_sluggish_switch_090,A,30,30,1.0,True,0.9688933222687092,1.1100302624903693,-0.14572058830425297,-0.20746454920336307,-0.08300771039132025,0.019602379471512683,0.019135009091867602,0.02005573887235464,0.07397017166759584,-0.0019646535323849727,0.14674276494650765,False,False,False,0.00019998000199980003,0.00018860027194023132,9.999000099990002e-05,1.862645149230957e-09,0.062193780621937804,0.06989291124045849
