method,candidate_set_contains_truth,censoring_time_s,classifier,detection_censored,detection_delay_s,from_mode,run_id,scenario_id,schema_version,seed,sg_level,switch_time_s,to_mode
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003009,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3009,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,1.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003010,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3010,B,50.0,sluggish
P_old,True,,current_native_diagnostic,False,2.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,B,50.0,sluggish
P_old,True,,evaluation_only_bayes_correct_candidates,False,11.0,nominal,phase-b1::final::sg-B::S2_sluggish_switch_050::P_old::seed-003011,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3011,B,50.0,sluggish
