evidence_source,member_path,bytes,declared_sha256,actual_sha256,hash_match,retention
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d8_finalize_negative.py,22418,54b73b787897e1d67f18bf64404eabb8ffef13ad74bb2218426dbeef02a3be7a,54b73b787897e1d67f18bf64404eabb8ffef13ad74bb2218426dbeef02a3be7a,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/d9_build_review_package.py,22562,0d5bbf07896252fb86a1a830e09003bbb4c5a300d72fa44ced6fab33003a15b1,0d5bbf07896252fb86a1a830e09003bbb4c5a300d72fa44ced6fab33003a15b1,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/regenerate_figures.ps1,210,81a983c7dcbc0b7286acb1b9a1253732b29f1569e35eda20d8ceea2cd601fd9e,81a983c7dcbc0b7286acb1b9a1253732b29f1569e35eda20d8ceea2cd601fd9e,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/reproduce_all.ps1,715,55150420abb0b4d9565cbbd6d40d5291e37259fce680c6ed8d8fa47c60a09959,55150420abb0b4d9565cbbd6d40d5291e37259fce680c6ed8d8fa47c60a09959,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/reproduce_minimal.ps1,207,985ebac7f8fa586207f6b9d6e095a26a8def95ca7ce61fba5eb6af3800737926,985ebac7f8fa586207f6b9d6e095a26a8def95ca7ce61fba5eb6af3800737926,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/scripts/phase_d/reproduce_minimal.py,774,d9dbc3ca4ef5860c1bf9264f01124e6a754e357c8cf9e65d18dc20c76fa04dc2,d9dbc3ca4ef5860c1bf9264f01124e6a754e357c8cf9e65d18dc20c76fa04dc2,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/src/direction1freq/__init__.py,91,1320dfec1399827217384400e82c0723fb37c94b14b9bec1f6ff899d38b42b54,1320dfec1399827217384400e82c0723fb37c94b14b9bec1f6ff899d38b42b54,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/src/direction1freq/estimation/__init__.py,156,8262b5c08d96a4649fd4ad1d1bcfe0a080f1872a4fcb618a5e7f027fc1515c15,8262b5c08d96a4649fd4ad1d1bcfe0a080f1872a4fcb618a5e7f027fc1515c15,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/src/direction1freq/estimation/load_kalman.py,3133,5e6d2b4bff248ae516f9cce0d07ee2caf6e06559fab3ef686f30cc584b87c61a,5e6d2b4bff248ae516f9cce0d07ee2caf6e06559fab3ef686f30cc584b87c61a,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,04_SOURCE/src/direction1freq/identification/__init__.py,211,98934cdb5d023cfd435ce7696487613928e4b822ad822bb3ce0cb960811f348a,98934cdb5d023cfd435ce7696487613928e4b822ad822bb3ce0cb960811f348a,True,read_only_phase_d_archive
