period_s,horizon_s,objective,relative_sg_penalty,load_pu,contract_status,high_status,first_bess_action_difference_pu,contract_first_bess_pu,high_first_bess_pu
2.0,32.0,sg_conserving_64,64.0,0.02,optimal_inaccurate,optimal_inaccurate,6.696730173762211e-07,0.01666110880694503,0.016660439133927653
2.0,32.0,sg_conserving_64,64.0,0.025,optimal_inaccurate,optimal_inaccurate,1.4755443738384555e-08,0.020826411682525192,0.020826396927081454
2.0,32.0,sg_conserving_64,64.0,0.03,optimal_inaccurate,optimal_inaccurate,2.2214271158671473e-08,0.024991696286996518,0.024991718501267676
2.0,32.0,sg_conserving_64,64.0,0.035,optimal_inaccurate,optimal_inaccurate,3.60619744656232e-08,0.029156947864519892,0.029156911802545427
2.0,32.0,sg_conserving_64,64.0,0.04,optimal_inaccurate,optimal_inaccurate,1.631188466938438e-08,0.03332223767274133,0.03332222136085666
2.0,32.0,sg_conserving_64,64.0,0.045,optimal,optimal_inaccurate,7.174228364159596e-09,0.03748750450506083,0.03748749733083247
2.0,32.0,sg_conserving_64,64.0,0.05,optimal_inaccurate,optimal,0.0006493130426184282,0.04127387327205588,0.041652785696712234
2.0,32.0,sg_conserving_64,64.0,0.055,optimal,optimal_inaccurate,0.001974404228093557,0.044184811601129075,0.045818094138955885
2.0,32.0,sg_conserving_64,64.0,0.06,optimal,optimal_inaccurate,0.004983323057608978,0.045000072883837824,0.049983395941231065
2.0,32.0,sg_conserving_64,64.0,0.065,optimal,optimal_inaccurate,0.009148864637616112,0.04500007289208291,0.05414893752942986
2.0,32.0,sg_conserving_64,64.0,0.07,optimal,optimal,0.010555572659257245,0.0450000728856677,0.055555645544878726
4.0,24.0,grid_service,1.0,0.0,optimal,optimal_inaccurate,1.421103245930317e-09,1.9747725597034603e-09,2.6283250185083294e-09
4.0,24.0,grid_service,1.0,0.005,optimal_inaccurate,optimal_inaccurate,2.833327282384182e-08,0.001490064507818493,0.0014900778033679943
4.0,24.0,grid_service,1.0,0.01,optimal_inaccurate,optimal_inaccurate,1.3749288559246342e-08,0.002980192060371721,0.0029801858445018536
4.0,24.0,grid_service,1.0,0.015,optimal_inaccurate,optimal_inaccurate,8.65007492630715e-09,0.004470284173188452,0.004470275523113526
4.0,24.0,grid_service,1.0,0.02,optimal_inaccurate,optimal,3.575728732205241e-09,0.005960374575051619,0.005960372799143803
4.0,24.0,grid_service,1.0,0.025,optimal,optimal,1.8146945135813497e-09,0.007450467368710597,0.007450469183405111
4.0,24.0,grid_service,1.0,0.03,optimal_inaccurate,optimal,8.567048964333579e-09,0.008940553002182657,0.008940561569231622
4.0,24.0,grid_service,1.0,0.035,optimal_inaccurate,optimal,9.22883975143507e-09,0.010430656964061077,0.010430647735221326
4.0,24.0,grid_service,1.0,0.04,optimal,optimal,8.519510628218763e-09,0.011920733953346562,0.011920732227787787
4.0,24.0,grid_service,1.0,0.045,optimal,optimal,2.3703765852922665e-08,0.01341084204881782,0.013410818345051968
4.0,24.0,grid_service,1.0,0.05,optimal,optimal,1.504183676052928e-08,0.014900927940639202,0.014900942982475962
4.0,24.0,grid_service,1.0,0.055,optimal,optimal,3.6990027325878305e-09,0.016391032395927995,0.016391030422486765
4.0,24.0,grid_service,1.0,0.06,optimal,optimal,3.453624081162232e-09,0.017881122267822833,0.01788111981373416
4.0,24.0,grid_service,1.0,0.065,optimal,optimal,6.064493907054214e-09,0.019371219515117628,0.019371218470119782
4.0,24.0,grid_service,1.0,0.07,optimal,optimal,2.2541236478074156e-08,0.020861315381997453,0.02086132912558127
4.0,24.0,sg_conserving_4,4.0,0.0,optimal_inaccurate,optimal,1.0718954423589438e-07,1.124887204375613e-07,5.437140359121093e-09
4.0,24.0,sg_conserving_4,4.0,0.005,optimal_inaccurate,optimal_inaccurate,2.565586638275663e-08,0.0026146639004589896,0.0026146841587449112
4.0,24.0,sg_conserving_4,4.0,0.01,optimal_inaccurate,optimal_inaccurate,2.2283353499213954e-08,0.005229333204633783,0.005229348166164889
4.0,24.0,sg_conserving_4,4.0,0.015,optimal,optimal_inaccurate,8.401470956431734e-09,0.007844030152508554,0.007844038553979511
4.0,24.0,sg_conserving_4,4.0,0.02,optimal_inaccurate,optimal_inaccurate,2.4386065035353344e-08,0.010458692680978038,0.010458712173090603
4.0,24.0,sg_conserving_4,4.0,0.025,optimal_inaccurate,optimal_inaccurate,3.478900686103292e-08,0.013073406084873292,0.01307337129586643
4.0,24.0,sg_conserving_4,4.0,0.03,optimal_inaccurate,optimal,6.876554718010519e-09,0.015688079341610584,0.015688072465055866
4.0,24.0,sg_conserving_4,4.0,0.035,optimal,optimal,8.441445976253847e-09,0.018302750357952816,0.018302752307713173
4.0,24.0,sg_conserving_4,4.0,0.04,optimal,optimal,2.410067732189214e-08,0.020917416865968392,0.020917440966645714
4.0,24.0,sg_conserving_4,4.0,0.045,optimal,optimal_inaccurate,4.159149070287471e-09,0.023532108873986882,0.02353210839208116
4.0,24.0,sg_conserving_4,4.0,0.05,optimal,optimal,1.926241837216236e-08,0.02614677237119439,0.026146788019218194
4.0,24.0,sg_conserving_4,4.0,0.055,optimal,optimal,1.4400755133509024e-08,0.028761459328474532,0.02876144960030653
4.0,24.0,sg_conserving_4,4.0,0.06,optimal,optimal,0.00024275579941259937,0.0312962663971081,0.031376126306990285
4.0,24.0,sg_conserving_4,4.0,0.065,optimal,optimal,0.0012034573390834469,0.03312451955646362,0.033990773784159385
4.0,24.0,sg_conserving_4,4.0,0.07,optimal,optimal,0.002338593248580892,0.03479223282996779,0.036605451772539245
4.0,24.0,sg_conserving_16,16.0,0.0,optimal_inaccurate,optimal,3.2505085561909e-07,3.368355845125131e-07,1.1784728893423116e-08
4.0,24.0,sg_conserving_16,16.0,0.005,optimal_inaccurate,optimal_inaccurate,1.0980038012489701e-08,0.0038428651748965105,0.0038428697440205067
4.0,24.0,sg_conserving_16,16.0,0.01,optimal_inaccurate,optimal_inaccurate,1.1135196071633546e-08,0.007685719468241922,0.007685724947436489
4.0,24.0,sg_conserving_16,16.0,0.015,optimal_inaccurate,optimal_inaccurate,1.8349574433008942e-07,0.011528627304214202,0.011528792306658988
4.0,24.0,sg_conserving_16,16.0,0.02,optimal_inaccurate,optimal_inaccurate,2.8610777703594326e-08,0.015371621318899993,0.015371649929677697
4.0,24.0,sg_conserving_16,16.0,0.025,optimal_inaccurate,optimal_inaccurate,5.964256358931275e-08,0.019214403301311158,0.01921434365874757
4.0,24.0,sg_conserving_16,16.0,0.03,optimal_inaccurate,optimal_inaccurate,9.742423992542548e-09,0.023057322898356755,0.023057332640780748
4.0,24.0,sg_conserving_16,16.0,0.035,optimal_inaccurate,optimal_inaccurate,3.3402188466535865e-07,0.026899895594827115,0.02690022961671178
4.0,24.0,sg_conserving_16,16.0,0.04,optimal_inaccurate,optimal_inaccurate,2.1968322277965413e-07,0.030743074336592673,0.030742962004768126
4.0,24.0,sg_conserving_16,16.0,0.045,optimal_inaccurate,optimal_inaccurate,1.0642776206715165e-06,0.03458648090549371,0.03458560635326106
4.0,24.0,sg_conserving_16,16.0,0.05,optimal,optimal,0.00036513290824018163,0.0382347351782279,0.0384287863334187
4.0,24.0,sg_conserving_16,16.0,0.055,optimal,optimal,0.001971014224314435,0.040790675263179324,0.042271635835591286
4.0,24.0,sg_conserving_16,16.0,0.06,optimal,optimal_inaccurate,0.0037247226590167437,0.043052111247959275,0.046114486435266513
4.0,24.0,sg_conserving_16,16.0,0.065,optimal,optimal_inaccurate,0.00559530324916712,0.04500000000039041,0.04995742106367366
4.0,24.0,sg_conserving_16,16.0,0.07,optimal,optimal,0.008800279132339557,0.04500000000523226,0.053800279137571815
4.0,24.0,sg_conserving_64,64.0,0.0,optimal_inaccurate,optimal_inaccurate,2.8321458959376875e-07,9.002945839278338e-08,3.7324404798655213e-07
4.0,24.0,sg_conserving_64,64.0,0.005,optimal_inaccurate,optimal_inaccurate,1.5573927861917136e-07,0.004683473090793646,0.0046833173515150265
4.0,24.0,sg_conserving_64,64.0,0.01,optimal_inaccurate,optimal_inaccurate,4.287670558166673e-07,0.009366984493607615,0.009367396100224556
4.0,24.0,sg_conserving_64,64.0,0.015,optimal_inaccurate,optimal_inaccurate,9.3134381954664e-07,0.014050977733550575,0.014050237422258529
4.0,24.0,sg_conserving_64,64.0,0.02,optimal_inaccurate,optimal_inaccurate,5.9124208889871355e-08,0.018733885134013712,0.018733839339863684
4.0,24.0,sg_conserving_64,64.0,0.025,optimal_inaccurate,optimal_inaccurate,1.9531126377314578e-07,0.023417387622931326,0.023417230388772543
4.0,24.0,sg_conserving_64,64.0,0.03,optimal_inaccurate,optimal_inaccurate,1.0329337340325706e-07,0.02810073593472323,0.028100831585125788
4.0,24.0,sg_conserving_64,64.0,0.035,optimal_inaccurate,optimal_inaccurate,7.142745502702885e-08,0.03278411732436883,0.03278418875182386
