scenario_id,method,plant,mechanism,sg_tension,period_s,condition,registered_domain,evaluation_status,capability_change_time_s,physical_success,fallback_calls,surplus_active_calls,controller_calls,excited_calls,excitation_fraction,request_span_pu,maximum_request_pu,reconstruction_scope
R5-V-A-027,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,known,BRIDGE,EVALUATED,107.65327666637943,True,0,0,150,96,0.64,0.04929976914144404,0.049197460080910506,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-028,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,OOD,SUSTAINABLE,EVALUATED,103.26154013511749,True,0,0,151,0,0.0,0.03337947236686398,0.02972627384643167,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-029,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,2.0,known,SUSTAINABLE,EVALUATED,106.22709313531057,True,0,0,150,0,0.0,0.029569669877457096,0.029489518491825014,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-030,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,known,BRIDGE,EVALUATED,118.1845466769251,True,0,0,75,0,0.0,0.031181496046714642,0.03109923971352583,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-031,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,OOD,BRIDGE,EVALUATED,131.38509965251288,True,0,0,76,42,0.5526315789473685,0.04631782941640338,0.04624903662416398,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-032,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,104.46999024815551,False,5,0,76,44,0.5789473684210527,0.21194003125585417,0.2118896255237542,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-033,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,124.03030340614683,False,0,1,75,47,0.6266666666666667,0.10257821970855685,0.10252328330040578,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-034,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,OOD,SUSTAINABLE,EVALUATED,101.91784549537377,True,0,0,76,38,0.5,0.045008394571852205,0.045008394571852205,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-035,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,known,SUSTAINABLE,EVALUATED,134.04815213242094,True,0,0,76,29,0.3815789473684211,0.047613633232478234,0.04501266526965266,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-036,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,OOD,SUSTAINABLE,EVALUATED,104.74440642066882,True,0,0,75,35,0.4666666666666667,0.04501374539819449,0.04501374539819449,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
