scenario_id,plant,mechanism,sg_tension,period_s,condition,evaluation_status,fallback_calls,surplus_active_calls,excitation_fraction,frequency_peak_hz__contract_only_rolling_mpc,frequency_peak_hz__dcsv_cr_mpc,ace_iae_pu_s__contract_only_rolling_mpc,ace_iae_pu_s__dcsv_cr_mpc,tie_rms_pu__contract_only_rolling_mpc,tie_rms_pu__dcsv_cr_mpc,physical_success__contract_only_rolling_mpc,physical_success__dcsv_cr_mpc,attribution,contract_minus_dcsv__frequency_peak_hz,contract_minus_dcsv__ace_iae_pu_s,contract_minus_dcsv__tie_rms_pu
R5-V-A-046,A_full_nonlinear,ramp_drop,low,2.0,OOD,EVALUATED,0,0,0.0,0.3094215016072488,0.31016543478927266,1.0575122017007088,1.0866318810071736,0.003809245060951992,0.00411732261742411,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.0007439331820238704,-0.029119679306464752,-0.00030807755647211787
R5-V-A-047,A_full_nonlinear,ramp_drop,low,2.0,known,EVALUATED,0,0,0.0,0.28568913662250756,0.29624117484589924,0.9577846159107514,0.9882398141357285,0.0037300800372051385,0.004047123518495261,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.01055203822339168,-0.03045519822497711,-0.0003170434812901227
R5-V-A-048,A_full_nonlinear,ramp_drop,low,2.0,OOD,EVALUATED,0,0,0.0,0.4200305132798803,0.42516503187279653,1.769313418489552,1.7993078111993301,0.0011634201612254235,0.0017848912420139799,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.0051345185929162485,-0.029994392709778106,-0.0006214710807885564
R5-V-A-049,A_full_nonlinear,ramp_drop,low,2.0,known,EVALUATED,0,0,0.0,0.30461629762841774,0.30441758419624004,1.039641709108936,1.0953327599160412,0.00379606482259387,0.004101430673572654,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.00019871343217769954,-0.055691050807105125,-0.0003053658509787841
R5-V-A-050,A_full_nonlinear,ramp_drop,low,4.0,known,EVALUATED,0,0,0.0,0.2999419279790892,0.29991629984792195,1.5049316614451076,1.4939456290707747,0.004872634022405107,0.004910068019665351,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,2.5628131167243495e-05,0.010986032374332932,-3.743399726024391e-05
R5-V-A-051,A_full_nonlinear,ramp_drop,low,4.0,known,EVALUATED,0,0,0.5394736842105263,0.8014222469409625,0.7786985228653354,4.906775611977549,4.584286365035799,0.011250208199714985,0.012341162549832635,True,True,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,0.022723724075627172,0.32248924694175063,-0.00109095435011765
R5-V-A-052,A_full_nonlinear,ramp_drop,low,4.0,OOD,EVALUATED,0,0,0.0,0.31041651827775857,0.31042073088876126,1.550203518221763,1.5553486114903032,0.005281642618408355,0.005246328651784413,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-4.21261100269632e-06,-0.0051450932685401796,3.5313966623942705e-05
R5-V-A-053,A_full_nonlinear,ramp_drop,low,4.0,OOD,EVALUATED,0,0,0.0,0.4291843038403074,0.42914262926563185,2.3805650476860944,2.305348955017102,0.0013064169683150106,0.0014931249273458188,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,4.167457467557645e-05,0.07521609266899265,-0.00018670795903080826
R5-V-A-054,A_full_nonlinear,ramp_drop,low,4.0,OOD,EVALUATED,0,0,0.6578947368421053,1.1746723542791861,1.1334580010890962,9.13423197243472,7.867654274669544,0.0036922142756193642,0.004897674480321633,False,False,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,0.041214353190089925,1.2665776977651753,-0.0012054602047022684
R5-V-A-055,A_full_nonlinear,ramp_drop,low,4.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.0,0.6998466951510793,0.6712227998355308,22.844525527723313,23.191791318491912,0.030180175212417882,0.030604459851081747,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.028623895315548542,-0.3472657907685992,-0.0004242846386638653
