scenario_id,J_mat,Tcrit_s,max_counterfactual_loss_gap
A2_energy_adequate_18,0.02,24.0,1.4021360246638932
A2_energy_scarce_19,0.02,,0.0
A2_availability_scarce_00,0.02,,0.0
A2_availability_scarce_01,0.02,44.0,0.5543505883107906
A2_availability_scarce_02,0.02,32.0,1.037438312038094
A2_availability_adequate_03,0.02,,0.011975790642069144
A2_availability_scarce_04,0.02,,0.0
A2_availability_adequate_05,0.02,,0.010435476930284794
A2_availability_scarce_06,0.02,,0.010156301817259406
A2_availability_adequate_07,0.02,,0.011554839924409978
A2_availability_critical_08,0.02,,-5.192977982907969
A2_availability_adequate_09,0.02,,0.0
A2_availability_adequate_10,0.02,20.0,1.3276508818145396
A2_availability_critical_11,0.02,30.0,1.5011184640820634
A2_availability_critical_12,0.02,28.0,1.7541168734898456
A2_availability_scarce_13,0.02,,0.0
A2_availability_adequate_14,0.02,20.0,1.3375002656239334
A2_availability_scarce_15,0.02,,-0.06978723146935506
A2_availability_critical_16,0.02,32.0,0.9124982465321665
A2_availability_critical_17,0.02,24.0,2.146244762228225
A2_availability_critical_18,0.02,32.0,3.8710256991020398
A2_availability_adequate_19,0.02,32.0,1.0004215669307448
