scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,method_failure_rate,reference_failure_rate,failure_rate_difference,method_safety_failure_rate,reference_safety_failure_rate,safety_failure_rate_difference,common_success_pair_count,scenario_count,method_scenario_balanced_mean,reference_scenario_balanced_mean,scenario_balanced_absolute_effect,scenario_balanced_relative_effect,absolute_ci95_low,absolute_ci95_high,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,episode_ratio_mean_diagnostic_only,episode_ratio_minus_primary,failure_penalty_value,penalized_method_mean,penalized_reference_mean,penalized_relative_effect,primary_estimator
scenario,S1_step_pos_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.8084984510511535,0.7735312019040969,0.03496724914705662,0.04520470416834187,,,,,1.0,0.04723416773874342,0.0020294635704015546,1.032231852195316,0.8084984510511535,0.7735312019040969,0.04520470416834187,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.24913346496878477,0.2456923081735939,0.003441156795190886,0.014005960629258027,,,,,1.0,0.014005960629258024,-3.469446951953614e-18,0.31354383930990404,0.24913346496878477,0.2456923081735939,0.014005960629258027,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5827238834277578,0.11433333333333334,0.4683905500944245,4.096710350680097,,,,,1.0,4.392901743574789,0.2961913928946913,0.7760597888300647,0.5827238834277578,0.11433333333333334,4.096710350680097,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.35852507687214336,0.05433333333333334,0.30419174353881,5.5986210467265645,,,,,1.0,7.22963834512792,1.6310172984013551,0.480865517609736,0.35852507687214336,0.05433333333333334,5.5986210467265645,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.055395483277829,0.9700690531150574,0.08532643016277153,0.08795913021735287,,,,,1.0,0.08828872715652379,0.00032959693917092303,1.3434943354206301,1.055395483277829,0.9700690531150574,0.08795913021735287,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.3338635296534261,0.3276384511155854,0.006225078537840656,0.01899984118666387,,,,,1.0,0.0189998411866638,-6.938893903907228e-17,0.4194466022059876,0.3338635296534261,0.3276384511155854,0.01899984118666387,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.59785917150669,0.11266666666666664,0.48519250484002335,4.306442350651096,,,,,1.0,4.3988281809680005,0.09238583031690428,0.7979387250755898,0.59785917150669,0.11266666666666664,4.306442350651096,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.369099039176393,0.05266666666666667,0.31643237250972633,6.008209604615057,,,,,1.0,6.491615176720829,0.48340557210577284,0.4962844989599385,0.369099039176393,0.05266666666666667,6.008209604615057,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9088494872532896,1.3029272947821624,-0.3940778075288728,-0.30245571576176017,,,,,1.0,-0.29774639288443067,0.004709322877329503,1.9539953702803168,0.9088494872532896,1.3029272947821624,-0.30245571576176017,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.286111930797552,0.2923416969969988,-0.006229766199446818,-0.021309879033474904,,,,,1.0,-0.02130987903347492,-1.734723475976807e-17,0.3654271212462485,0.286111930797552,0.2923416969969988,-0.021309879033474904,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.0042316580864,0.071,0.9332316580864,13.144107860371832,,,,,1.0,14.48592728939414,1.3418194290223084,1.4299337661006262,1.0042316580864,0.071,13.144107860371832,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.833390593896013,0.3576666666666667,0.4757239272293463,1.3300762177894119,,,,,1.0,2.1051661029528828,0.7750898851634709,1.1715746316678264,0.833390593896013,0.3576666666666667,1.3300762177894119,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_060,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9070611184750443,1.3029272947821624,-0.39586617630711807,-0.30382829333029154,,,,,1.0,-0.29913984963580215,0.004688443694489397,1.9539953702803168,0.9070611184750443,1.3029272947821624,-0.30382829333029154,scenario_balanced_paired_difference_and_ratio_of_means
