scenario_id,seed,factor,sg_level,method,reference_method,method_present,reference_present,method_success,reference_success,both_success,method_only_failure,reference_only_failure,both_failure,method_safety_failure,reference_safety_failure
S1_step_neg_002,3020,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3020,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3020,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3021,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3021,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3021,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3022,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3022,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3022,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3023,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3023,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3023,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3024,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3024,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3024,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3025,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3025,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3025,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3026,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3026,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3026,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3027,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3027,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3027,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3028,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3028,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3028,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3029,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3029,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3029,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3000,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3000,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3000,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3001,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3001,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3001,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3002,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3002,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3002,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3003,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3003,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3003,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3004,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3004,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3004,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3005,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3005,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3005,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3006,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3006,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3006,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3007,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3007,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3007,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3008,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3008,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3008,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3009,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3009,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3009,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3010,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3010,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3010,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3011,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3011,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3011,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3012,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3012,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3012,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3013,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3013,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3013,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3014,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3014,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3014,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3015,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3015,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3015,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3016,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3016,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3016,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3017,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3017,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3017,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3018,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3018,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3018,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3019,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3019,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3019,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3020,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3020,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3020,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3021,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3021,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3021,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3022,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3022,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3022,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3023,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3023,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3023,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3024,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3024,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3024,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3025,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_004,3025,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
