scenario_id,method,objective_preference,probe_amplitude_pu,evidence_model,physical_success,hard_violation,solver_failure_calls,fallback_calls,probe_windows,power_certified,power_certificate_time_s,frequency_peak_hz,delta_frequency_peak_hz,ace_iae_pu_s,delta_ace_iae_pu_s,tie_iae_pu_s,delta_tie_iae_pu_s,sg_mechanical_mileage_pu,delta_sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,delta_bess_energy_throughput_pu_s
R1_HIGH_DUAL_A0.0030_W1_ALPHA03_AR1_RESOURCE_ECONOMY_A3_W1_S8101,dual,resource_economy,0.003,alpha03_ar1,True,False,0,0,1,False,,0.3999485400407312,9.843741128806593e-05,2.622986888165547,0.0016714056405064959,0.254939455534307,-0.0258420593302931,0.40332651041355033,0.008186601369810087,13.792285697017801,-0.1392099196150749
R1_HIGH_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04,dual,resource_economy,0.003,a03f1ad,True,False,0,0,2,True,164.0,0.39957545923850785,-0.000274643390935303,2.610645901181891,-0.010669581343149215,0.2763448173060468,-0.004436697558553304,0.42234815174329227,0.02720824269955202,14.232793726254616,0.3012981096217402
R1_HIGH_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04_S8105,dual,resource_economy,0.003,a03f1ad,True,False,0,0,2,True,168.0,0.39985010262944315,0.0,2.611975103203868,-0.009340379321172598,0.27780416119768964,-0.002977353666910487,0.43005336154377466,0.034913452500034414,14.189474440574207,0.25797882394133076
R1_HIGH_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04RETRY_S8101,dual,resource_economy,0.003,a03f1ad,True,False,0,0,2,True,164.0,0.3999485400407312,9.843741128806593e-05,2.62547781890675,0.004162336381709597,0.2616913780210768,-0.019090136843523342,0.4195093867712583,0.024369477727518074,14.250082143041855,0.31858652640897844
R1_HIGH_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04RETRY_S8102,dual,resource_economy,0.003,a03f1ad,True,False,0,0,2,True,164.0,0.40010882507158735,0.00025872244214419915,2.5793334248611135,-0.04198205766392693,0.252715488631643,-0.02806602623295712,0.41893054420356546,0.023790635159825213,14.297419902547617,0.36592428591474047
R1_HIGH_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04RETRY_S8103,dual,resource_economy,0.003,a03f1ad,True,False,0,0,2,True,164.0,0.4000138648665128,0.00016376223706965343,2.655825973893025,0.034510491367984564,0.2772925213384159,-0.003488993526184203,0.42131332004251704,0.02617341099877679,14.260588318637245,0.3290927020043686
R1_HIGH_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04RETRY_S8104,dual,resource_economy,0.003,a03f1ad,True,False,0,0,2,True,164.0,0.3999124341558873,6.233152644413709e-05,2.6314771162802466,0.010161633755206179,0.26871461135768204,-0.01206690350691808,0.41521177431708794,0.0200718652733477,14.236967763574658,0.3054721469417814
R1_HIGH_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,2,True,164.0,0.39957545923850785,-0.000274643390935303,2.6076983253536072,-0.013617157171433192,0.2755006717609572,-0.005280843103642907,0.4183774582881406,0.023237549244400357,14.19601213472691,0.26451651809403387
R1_HIGH_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8101,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,2,True,164.0,0.3999485400407312,9.843741128806593e-05,2.621827852060648,0.0005123695356075153,0.25915252421114526,-0.02162899065345486,0.4157605068070223,0.020620597763282067,14.21333451803225,0.2818389013993734
R1_HIGH_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8102,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,2,True,164.0,0.40010882507158735,0.00025872244214419915,2.575413305033119,-0.04590217749192149,0.25026980130881293,-0.03051171355578719,0.41509153791592523,0.01995162887218499,14.260642753224914,0.329147136592038
R1_HIGH_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8103,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,2,True,164.0,0.4000138648665128,0.00016376223706965343,2.6487245028184727,0.027409020293432285,0.2735676572155881,-0.007213857649012001,0.41749527417022514,0.022355365126484894,14.223818146174366,0.2923225295414902
R1_HIGH_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8104,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,2,False,,0.3999124341558873,6.233152644413709e-05,2.643203298270262,0.021887815745221584,0.2734824572621208,-0.007299057602479342,0.41714129034969155,0.022001381305951306,13.828672414860021,-0.1028232017728552
R1_HIGH_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8105,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,2,False,,0.39985010262944315,0.0,2.6095912909886043,-0.011724191536436113,0.27776739712241105,-0.003014117742189071,0.4289402585323333,0.03380034948859306,13.91027608285474,-0.02121953377813668
