scenario_id,method,plant,condition,domain,evaluation_status,physical_success,hard_violation,fallback_calls,stored_cycle_rows,representative_trace,controller_failure_detail,physical_certificate_detail,trace_storage_path
I6-A-048,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,False,False,0,151,False,True,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-048,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,False,False,0,151,False,True,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-049,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-049,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-050,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-050,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-051,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-051,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-052,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-052,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-053,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,75,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-053,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-054,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-054,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-055,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-055,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-056,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-056,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-057,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,75,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-057,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-058,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-058,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-059,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-059,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-060,dcsv_mpc,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,1,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
