split,seed,plant,scenario,sg,method,failure_class
final_ood,2034,B,asymmetric,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2034,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2035,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2035,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2036,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2036,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2036,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2037,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2037,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2037,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2037,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2037,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2037,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2038,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2038,B,current_limit_q,scarce,fixed_allocation,frequency_or_ace_failure
final_ood,2038,B,current_limit_q,scarce,nominal_mpc,frequency_or_ace_failure
final_ood,2038,B,current_limit_q,scarce,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2038,B,current_limit_q,scarce,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2038,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2039,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2039,B,multiple_switches,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2039,B,multiple_switches,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2039,B,multiple_switches,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2039,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2039,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2040,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2040,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2041,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2041,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2042,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2042,B,gradual_drift,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2042,B,gradual_drift,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2042,B,gradual_drift,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2042,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2042,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2043,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2043,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2043,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2043,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2043,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2043,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2044,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2044,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2045,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2045,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2045,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2046,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2046,B,asymmetric,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2046,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2047,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2047,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2048,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2048,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2048,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2049,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2049,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2049,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2049,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2049,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2049,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
