point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B1_LHS_0421,2.0,medium,0.046516640572820185,0.024866836356430607,0.0030457300830276737,0.42397359560885534,0.0011103725325501764,0.328027932080525,0.01331169916231698,regional_responsibility,8,3.3810330874829617,3.381033072819185,1.4663776859435984e-08,0.021672188698027756,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.1933761999825947
B1_LHS_0422,4.0,low,0.0173468533055018,0.013541839840831972,0.0052677076175049855,1.1114237791226365,0.001303371933901218,0.3159619201824321,0.03289625690621278,resource_economy,8,2.0982752681440515,2.098275241608806,2.6535245556402742e-08,-0.00418353087221551,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0361106999916956
B1_LHS_0423,4.0,low,0.0234280901304924,0.025031408525868996,0.007178490732547534,0.05767057826353305,0.0012533045335965782,0.5261876317258223,0.016045249367178882,balanced,8,1.5186712398131748,1.5186712442947603,-4.481585547111422e-09,-0.006857139292700906,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0517148999788333
B1_LHS_0424,4.0,low,0.044552320016335745,0.023247191781906727,0.027660061273412962,0.16347742860429643,0.0018038728559806399,0.6534211847471223,0.013206109828416586,regional_responsibility,8,5.502178042518539,5.502178019468405,2.3050133357571667e-08,-0.003233716925692784,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0426648000138812
B1_LHS_0425,2.0,medium,0.04918622777432707,0.0040558401341938095,0.030826511879737718,1.1462155899346698,0.0016597577739888628,0.6046690934025997,0.02447435891166552,resource_economy,8,4.10703260245038,4.107032590111315,1.2339064880961814e-08,0.0847124877014645,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.3698226000124123
B1_LHS_0426,4.0,low,0.06157680067174511,0.0048058352760026,0.011635461984500004,0.627173229912165,0.0007384275351796065,0.4915293828087837,0.02659230948977684,balanced,8,8.819567527796154,8.819567516715002,1.1081151995995242e-08,0.007892984721733226,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.1229269999894314
B1_LHS_0427,4.0,high,0.07484182757718398,0.02123451325985558,0.005591621716061832,0.9644241521055094,0.0007007777577594245,0.6627154569614994,0.02599521743019781,regional_responsibility,8,16.029940142127007,16.029940120828016,2.1298991015328284e-08,0.026951298306303585,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.1151775000034831
B1_LHS_0428,4.0,high,0.021253618499694964,0.011608290214075962,0.021903571224394996,0.41224292446161065,0.0005604936419814382,0.4356743309814153,0.007443233171125369,resource_economy,8,0.9956180027703591,0.995618005456899,-2.6865399904707488e-09,-0.004739394670869859,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.052809899993008
B1_LHS_0429,2.0,high,0.060256469872726676,0.008420966868076632,0.03308492605176098,0.0005851144211901874,0.0011020820828850698,0.34356863739206933,0.02402055074143253,balanced,8,4.901655281388217,4.901655289554411,-8.166194831460416e-09,-0.004381977932086876,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.212920399993891
B1_LHS_0430,4.0,low,0.04689833465558877,0.03456283747215504,0.021589900352452174,0.6470268919100955,0.0005956022239509895,0.5228437673408404,0.015705484685577996,regional_responsibility,8,6.2440647135681,6.244064706716104,6.851995415502188e-09,0.007288056359438859,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0504350000119302
