point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz
B1_ADAPT_0065,4.0,medium,0.0557875735268511,0.0345718326865103,0.024278648187743,0.3859528412859992,0.0005141227424007,0.5524640575950984,0.0351898511138665,resource_economy,50.0
B1_ADAPT_0066,4.0,medium,0.0636636124892618,0.035,0.034921414643392,0.5677536002291287,0.0005089447329159,0.3952175489797263,0.0252896459268797,resource_economy,50.0
B1_ADAPT_0067,4.0,medium,0.075,0.035,0.0061285860631235,1.1315813037625362,0.0016498244035116,0.3961942405937276,0.0027841422416153,resource_economy,50.0
B1_ADAPT_0068,4.0,medium,0.075,0.0085941339808014,0.0128408435733996,0.3343766773688881,0.0017198038155919,0.6524950405572112,0.0168107885690714,resource_economy,50.0
B1_ADAPT_0069,2.0,medium,0.0573996221423655,0.0193508833519718,0.0067110797856727,0.1964699481540851,0.002,0.3837386818253793,0.0212171729970345,resource_economy,50.0
B1_ADAPT_0070,2.0,medium,0.0654729601899662,0.0327811810197977,0.0073482960472243,0.3042244570517398,0.0015074470897889,0.4152375831403949,0.0273298742831903,resource_economy,50.0
B1_ADAPT_0071,2.0,high,0.0552337694705978,0.0102216046411797,0.0127320021343242,0.8004759807968956,0.0016701644015188,0.3,0.023629550138978,resource_economy,50.0
B1_ADAPT_0072,2.0,medium,0.075,0.0187946662679298,0.0005573942057297,1.2029724959425596,0.0006367561507373,0.475529658645434,0.0367925834815267,resource_economy,50.0
B1_ADAPT_0073,4.0,high,0.060524232801019,0.0204191495758755,0.0221136092132081,0.4124484976283,0.0011195044661078,0.7,0.0179384548399752,resource_economy,50.0
B1_ADAPT_0074,4.0,medium,0.0715596166465714,0.035,0.0333825959843089,0.6119264044265426,0.0010883968187003,0.521121682448533,0.0393768957461021,resource_economy,50.0
B1_ADAPT_0075,2.0,low,0.0741825308758676,0.0227513439147666,0.0275490856318889,0.3686373194058459,0.0009941933224351,0.4677119435238208,0.0231836796469428,resource_economy,50.0
B1_ADAPT_0076,2.0,medium,0.0287419831419892,0.0186518416336556,0.015405156242083,0.9429623209621436,0.0014402729053843,0.4140893167050922,0.0318619388990126,regional_responsibility,50.0
B1_ADAPT_0077,2.0,low,0.075,0.029131786663219,0.025040081209268,0.7239157356306812,0.0006008834366272,0.558017973614957,0.0294504798500909,resource_economy,50.0
B1_ADAPT_0078,2.0,low,0.075,0.0331588777903911,0.0247215560401201,0.228807330005906,0.0011963802048765,0.3763817510450233,0.0353939721994572,resource_economy,50.0
B1_ADAPT_0079,2.0,medium,0.015,0.0054118174000541,0.0030273042530311,1.2147032584021802,0.0005,0.5144084253855126,0.0370367208878978,resource_economy,50.0
B1_ADAPT_0080,4.0,medium,0.0711217655527693,0.0146399278499167,0.0069545288625551,0.4394226472293562,0.0006501334116387,0.7,0.04,resource_economy,50.0
B1_ADAPT_0081,4.0,low,0.075,0.008478898596412,0.0138443305900059,0.5426792263629474,0.0014889371697405,0.4145670625324649,0.0139165373961975,resource_economy,50.0
B1_ADAPT_0082,4.0,low,0.075,0.0100119977826156,0.0069400815902301,0.5236911001870455,0.0013631392905937,0.3634391441962018,0.0179179360641802,resource_economy,50.0
B1_ADAPT_0083,2.0,medium,0.075,0.0287536444713518,0.0012849147851531,1.3,0.0007224858068561,0.5782350267961661,0.034319299217048,resource_economy,50.0
B1_ADAPT_0084,4.0,medium,0.0681980753713139,0.0272673541034069,0.0179837494963243,0.2854623961358819,0.0006312864020114,0.4754321365297105,0.0301377327798935,resource_economy,50.0
B1_ADAPT_0085,4.0,medium,0.0680412871880236,0.0247406426220422,0.0005520362903259,0.8319360988294067,0.0018514662079401,0.4695988895066782,0.0048822716476238,resource_economy,50.0
B1_ADAPT_0086,2.0,medium,0.0591245707686147,0.0213293135414791,0.0041240870125151,0.46630329918941,0.0015871349153526,0.4765686395646009,0.0248075716990689,resource_economy,50.0
B1_ADAPT_0087,2.0,medium,0.0185641342105139,0.0152053734452369,0.0238610998288105,1.2667938011660578,0.0013431099829919,0.5482056376442865,0.0298613550407671,resource_economy,50.0
B1_ADAPT_0088,4.0,low,0.0731844928992758,0.0031733353700966,0.0210899713547904,0.6673566304701486,0.0005,0.5764141658875368,0.0339935042580703,resource_economy,50.0
B1_ADAPT_0089,4.0,medium,0.0534135079375748,0.0193715247431749,0.0279431184022227,1.103431618454825,0.0016780459870609,0.4952297392531605,0.0155112907525429,resource_economy,50.0
B1_ADAPT_0090,4.0,medium,0.0697741502139437,0.0,0.0,1.249836525937321,0.0007008968564064,0.6503720685664407,0.0261462323200226,resource_economy,50.0
B1_ADAPT_0091,4.0,medium,0.0583976443324907,0.0005296094142166,0.0,1.0577758147317573,0.0005,0.5999201922706459,0.0230283475562434,resource_economy,50.0
B1_ADAPT_0092,4.0,high,0.0727927060047152,0.0171031475722824,0.0072203760747765,0.5920960049317855,0.0009815757843347,0.5585904074981507,0.033012910347897,resource_economy,50.0
B1_ADAPT_0093,2.0,medium,0.075,0.0163616776127453,0.0013065882031097,0.1851655529390874,0.002,0.469059938627287,0.0307774204062637,resource_economy,50.0
B1_ADAPT_0094,4.0,medium,0.058123102293029,0.0226181603301825,0.0110774022644919,0.1180171977833762,0.0019157416225592,0.7,0.0,resource_economy,50.0
