period_s,delay_s,left_vertex_s,right_vertex_s,matrix_inf_error,bounded_state_error_inf
2.0,0.5598000000000001,0.2,0.6,0.010761425193449803,0.0011839282595393374
2.0,0.5647972222222222,0.2,0.6,0.009583681236455588,0.0010546197381973244
2.0,0.5697944444444445,0.2,0.6,0.008360937589816486,0.0009202917622939441
2.0,0.5747916666666667,0.2,0.6,0.007092973002704839,0.0007809171613363627
2.0,0.5797888888888889,0.2,0.6,0.005779574164877732,0.0006364696632235556
2.0,0.5847861111111111,0.2,0.6,0.004420535760221417,0.0004869239008493245
2.0,0.5897833333333333,0.2,0.6,0.0030156605188501606,0.000332255418540219
2.0,0.5947805555555556,0.2,0.6,0.001564759267737137,0.00017244067832697052
2.0,0.5997777777777777,0.2,0.6,6.765097987870838e-05,7.457066048274507e-06
2.0,0.6047750000000001,0.6,1.0,0.002204493696470966,0.000197619193866774
2.0,0.6097722222222222,0.6,1.0,0.004469418857388829,0.0003993395937887814
2.0,0.6147694444444445,0.6,1.0,0.006690507939390855,0.0005958288804940592
2.0,0.6197666666666667,0.6,1.0,0.008867040648686375,0.0007870681926780318
2.0,0.6247638888888889,0.6,1.0,0.010998301873684335,0.0009730396207915403
2.0,0.6297611111111112,0.6,1.0,0.01308358184013908,0.0011537262121062246
2.0,0.6347583333333333,0.6,1.0,0.01512217626599388,0.0013291119756020534
2.0,0.6397555555555556,0.6,1.0,0.017113386515906548,0.0014991818866762535
2.0,0.6447527777777777,0.6,1.0,0.01905651975540934,0.0016639218916710892
2.0,0.64975,0.6,1.0,0.020950889104701942,0.0018233189122208336
2.0,0.6547472222222223,0.6,1.0,0.022795813792039488,0.0019773608494153454
2.0,0.6597444444444445,0.6,1.0,0.024590619306697536,0.002126036587780322
2.0,0.6647416666666667,0.6,1.0,0.026334637551482853,0.002269335999071654
2.0,0.6697388888888889,0.6,1.0,0.02802720699477873,0.002407249945884589
2.0,0.6747361111111112,0.6,1.0,0.029667672822085545,0.002539770285075066
2.0,0.6797333333333333,0.6,1.0,0.0312553870870419,0.0026668898709930446
2.0,0.6847305555555556,0.6,1.0,0.03278970886190591,0.002788602558526474
2.0,0.6897277777777777,0.6,1.0,0.0342700043874572,0.002904903205955261
2.0,0.694725,0.6,1.0,0.035695647222318994,0.003015787677614242
2.0,0.6997222222222222,0.6,1.0,0.03706601839165424,0.0031212528463636625
2.0,0.7047194444444445,0.6,1.0,0.03838050653523062,0.0032212965958674793
2.0,0.7097166666666668,0.6,1.0,0.039638508054818944,0.00331591782267765
2.0,0.7147138888888889,0.6,1.0,0.04083942726090983,0.0034051164381239864
2.0,0.7197111111111112,0.6,1.0,0.04198267651872367,0.0034888933700091642
2.0,0.7247083333333333,0.6,1.0,0.043067676393485466,0.0035672505641073534
2.0,0.7297055555555556,0.6,1.0,0.04409385579495434,0.0036401909854668177
2.0,0.7347027777777777,0.6,1.0,0.04506065212117538,0.0037077186195149468
2.0,0.7397,0.6,1.0,0.04596751140143285,0.0037698384729658286
2.0,0.7446972222222223,0.6,1.0,0.046813888438389295,0.003826556574528955
2.0,0.7496944444444444,0.6,1.0,0.04759924694937845,0.0038778799754198776
2.0,0.7546916666666668,0.6,1.0,0.04832305970684758,0.003923816749670673
2.0,0.7596888888888889,0.6,1.0,0.04898480867790067,0.0039643759942409856
2.0,0.7646861111111112,0.6,1.0,0.0495839851629557,0.003999567828928996
2.0,0.7696833333333333,0.6,1.0,0.050120089933461065,0.004029403396081213
2.0,0.7746805555555556,0.6,1.0,0.05059263336867631,0.004053894860101997
2.0,0.7796777777777777,0.6,1.0,0.05100113559148345,0.004073055406761176
2.0,0.784675,0.6,1.0,0.051345126603213,0.004086899242300595
2.0,0.7896722222222223,0.6,1.0,0.05162414641746005,0.004095441592338607
2.0,0.7946694444444444,0.6,1.0,0.05183774519288131,0.004098698700572861
2.0,0.7996666666666667,0.6,1.0,0.05198548336493536,0.004096687827280404
2.0,0.8046638888888888,0.6,1.0,0.05206693177657018,0.004089427247616503
2.0,0.8096611111111112,0.6,1.0,0.05208167180781903,0.004076936249710148
2.0,0.8146583333333333,0.6,1.0,0.05202929550428792,0.004059235132557635
2.0,0.8196555555555556,0.6,1.0,0.05190940570453617,0.004036345203713904
2.0,0.8246527777777779,0.6,1.0,0.05172161616629978,0.004008288776781237
2.0,0.82965,0.6,1.0,0.05146555169156619,0.003975089168695746
2.0,0.8346472222222223,0.6,1.0,0.05114084825047305,0.003936770696811696
2.0,0.8396444444444444,0.6,1.0,0.050747153104002685,0.003893358675783771
2.0,0.8446416666666667,0.6,1.0,0.0502841249254764,0.003844879414247599
2.0,0.8496388888888888,0.6,1.0,0.04975143392081094,0.003791360211298204
2.0,0.8546361111111112,0.6,1.0,0.04914876194753326,0.0037328293527676467
2.0,0.8596333333333332,0.6,1.0,0.048475802632530485,0.0036693161073008524
2.0,0.8646305555555556,0.6,1.0,0.04773226148852172,0.0036008507222314826
